APCOTEXIND,20210301,177,189.85,174.05,184.8,352761
APEX,20210301,244,245.8,240,240.85,80321
APLAPOLLO,20210301,1125,1142,1051.25,1092.7,603703
APLLTD,20210301,910.1,938.95,908.3,924.25,444155
APOLLO,20210301,111,113.9,110.05,110.95,278391
APOLLOHOSP,20210301,3039.05,3098,3007.55,3081.15,678218
APOLLOPIPE,20210301,719.85,731.95,707,711,34320
APOLLOTYRE,20210301,235,248.8,235,244.85,14941186
APOLSINHOT,20210301,544.95,560,544.95,556.45,1087
APTECHT,20210301,221.1,234,219.2,230.1,451916
ARCHIDPLY,20210301,35.75,37.5,35.5,36,11192
ARCHIES,20210301,11.8,11.9,11.55,11.7,53862
ARENTERP,20210301,11.6,12.35,11.6,11.7,3384
ARIES,20210301,90,101.7,89,97.4,184794
ARIHANT,20210301,22.85,23.3,22.65,23,1515
ARIHANTSUP,20210301,39,41,39,39.8,15193
ARMANFIN,20210301,624,630.4,572.3,591.75,52829
AROGRANITE,20210301,45,47.5,45,46.75,72790
ARROWGREEN,20210301,78.8,80.85,77.25,78.95,5952
ARSHIYA,20210301,35.95,36.05,33.25,36.05,123077
ARSSINFRA,20210301,22,24.95,22,24.45,32948
ARTEMISMED,20210301,240.5,240.5,226,226.4,3607
ARVIND,20210301,81.35,84.5,78.05,78.7,2210565
ARVINDFASN,20210301,159.9,162,157,158,174007
ARVSMART,20210301,99,103.15,98.85,100.75,215526
ASAHIINDIA,20210301,295,297.65,288.95,291.25,26607
ASAHISONG,20210301,280.2,285.65,275.2,281.7,25740
ASAL,20210301,38,38,37.1,37.65,4318
ASALCBR,20210301,359.7,359.7,350.15,352.65,41059
ASHAPURMIN,20210301,115,116.9,113.55,114.45,115408
ASHIANA,20210301,117.5,120,115.15,117.1,73519
ASHIMASYN,20210301,14.3,15.65,14.3,15.6,677576
ASHOKA,20210301,114.2,114.45,111.1,111.85,944045
ASHOKLEY,20210301,130.7,134.35,126.5,129.65,34897746
ASIANHOTNR,20210301,71.65,74.4,68.5,71.2,20747
ASIANPAINT,20210301,2300,2369.9,2300,2362.3,2545806
ASIANTILES,20210301,197,204.9,188,190.35,1298278
ASPINWALL,20210301,166.05,169,160.3,167,3476
ASTEC,20210301,1065,1066.7,1031.15,1035.9,18146
ASTERDM,20210301,148.7,148.7,143,143.35,135074
ASTRAL,20210301,2150.85,2220,2142.65,2196.9,116757
ASTRAMICRO,20210301,112.05,123.65,112.05,121.25,1828130
ASTRAZEN,20210301,3472,3500,3440.15,3455.85,22118
ASTRON,20210301,44.5,44.5,43.1,43.5,30323
ATFL,20210301,807.9,820.65,807.9,814.45,3685
ATGL,20210301,523.3,529.45,516.5,525.45,1103126
ATLANTA,20210301,8.45,8.45,8,8.1,10809
ATUL,20210301,6595,6721,6554.3,6591.85,25829
ATULAUTO,20210301,193.65,218.9,193.65,206.95,1990169
AUBANK,20210301,1138,1165.05,1127.6,1148.45,754157
AURIONPRO,20210301,82.9,82.9,80,80.8,14870
AUROPHARMA,20210301,855.1,879,849.4,873.65,1653424
AUSOMENT,20210301,47,50.5,47,49.35,8943
AUTOAXLES,20210301,1159.4,1195,1159.4,1167.8,7485
AUTOIND,20210301,33.35,33.35,30.8,31.85,30632
AVADHSUGAR,20210301,194.9,199.7,190.35,194.9,120062
AVANTIFEED,20210301,486,486,477.1,484.8,135236
AVTNPL,20210301,44.1,45.2,44.1,44.65,70293
AWHCL,20210301,300.1,302.4,298.05,299.9,96865
AXISBANK,20210301,738,743.5,722.25,728.55,14301187
AXISBNKETF,20210301,352.81,354.76,349.95,352.67,917
AXISCADES,20210301,48.15,49.7,48,49.05,28778
AXISGOLD,20210301,40.17,40.4,39.65,40.07,304610
AXISNIFTY,20210301,153.75,158.8,152.51,153.93,3861
AYMSYNTEX,20210301,55.95,55.95,50.75,50.95,44054
BAFNAPH,20210301,121.55,126.45,118.1,120.75,2321
BAGFILMS,20210301,2.6,2.7,2.6,2.7,64457
BAJAJ-AUTO,20210301,3798.7,3858.8,3751,3814.05,724589
BAJAJCON,20210301,245.35,253.75,244.05,246,561101
BAJAJELEC,20210301,970.7,1008,965,990.1,278803
BAJAJFINSV,20210301,9799,9848.6,9613.7,9774.05,322437
BAJAJHIND,20210301,6.9,6.95,6.2,6.25,12881191
BAJAJHLDNG,20210301,3693.3,3693.3,3561,3594.1,76867
BAJFINANCE,20210301,5315,5369.9,5195,5266.8,2031881
BALAJITELE,20210301,59.7,62.4,59.05,60.35,373440
BALAMINES,20210301,1648.65,1695,1635,1685.3,138038
BALAXI,20210301,564.4,567.5,564.4,567.5,1154
BALKRISHNA,20210301,17.1,18.9,17.1,18.9,6680
BALKRISIND,20210301,1556,1598.15,1556,1584.8,365513
BALMLAWRIE,20210301,125,128.25,124.05,125.65,1529035
BALPHARMA,20210301,55.7,56.85,49.55,53.8,25462
BALRAMCHIN,20210301,177.25,184.4,175.95,181.4,1627117
BANARBEADS,20210301,59.25,59.25,56.3,56.95,8560
BANARISUG,20210301,1725.1,1799,1718.3,1795.05,1752
BANCOINDIA,20210301,155,156.25,151.6,154.3,133738
BANDHANBNK,20210301,349,351.25,336.25,338.4,6356872
BANG,20210301,28,28,26.55,27.25,6062
BANKA,20210301,76.45,77.5,73.5,75.2,3284
BANKBARODA,20210301,85.4,86.35,82.9,83.35,51758155
BANKBEES,20210301,359,359,352.24,354.96,847397
BANKINDIA,20210301,83.3,84.2,80.6,80.9,4473304
BANSWRAS,20210301,120.8,120.8,113.55,119.6,47777
BASF,20210301,1953.45,1999,1863.25,1898.7,50898
BASML,20210301,67.8,69.45,67.05,67.5,10279
BATAINDIA,20210301,1450,1478,1444,1468.9,540241
BAYERCROP,20210301,5218,5218,5045.1,5074,16869
BBL,20210301,1135,1149,1104,1135.05,10248
BBTC,20210301,1164.9,1186,1156,1161.45,51082
BCG,20210301,7.65,7.85,7.55,7.6,3050517
BCP,20210301,5.1,5.1,5.1,5.1,21806
BDL,20210301,354.8,370,353.55,367.2,1299286
BEARDSELL,20210301,10.1,10.1,9.6,9.9,11186
BECTORFOOD,20210301,405,405,390.2,392.25,648802
BEDMUTHA,20210301,23.35,23.85,23.25,23.35,5210
BEL,20210301,138.7,147,137.95,145.95,20686485
BEML,20210301,1090,1185,1080,1165.1,2250849
BEPL,20210301,145.85,146.7,135.15,138.5,911459
BERGEPAINT,20210301,681,723,681,718.75,2028724
BESTAGRO,20210301,420.2,455.15,402,438.3,1271
BFINVEST,20210301,278.5,289.5,277.1,283.65,39007
BFUTILITIE,20210301,275,291,273.5,285.05,343340
BGLOBAL,20210301,1.1,1.15,1.05,1.15,25456
BGRENERGY,20210301,46.5,49,46,46.85,388102
BHAGERIA,20210301,166,169.9,164.7,167.15,35107
BHAGYANGR,20210301,48.7,48.7,48.7,48.7,23958
BHAGYAPROP,20210301,28.4,28.7,27.75,28.4,26780
BHANDARI,20210301,2.85,2.95,2.75,2.85,153990
BHARATFORG,20210301,619.6,627.3,611.3,618.5,1894304
BHARATGEAR,20210301,80.5,80.5,77.4,78.05,13334
BHARATRAS,20210301,10090,10525,10005.05,10389.3,13280
BHARATWIRE,20210301,41.55,45,41.55,42.95,18713
BHARTIARTL,20210301,558,559.1,521,532.2,54075848
BHEL,20210301,48.7,49.6,47.6,48.8,123674746
BIGBLOC,20210301,142,144,142,143.4,37829
BIL,20210301,153.75,153.75,147,147.75,6498
BINDALAGRO,20210301,17.95,20.15,17.7,19.6,426671
BIOCON,20210301,395,399,387.4,395.65,2691673
BIOFILCHEM,20210301,90.45,90.45,90.45,90.45,27184
BIRLACABLE,20210301,61.1,62.95,60.1,60.85,171401
BIRLACORPN,20210301,859.9,878.85,856.25,865.7,117256
BIRLAMONEY,20210301,43.65,44.9,43.65,44,187586
BIRLATYRE,20210301,29,29.25,28.4,28.85,403542
BKMINDST,20210301,1,1,0.95,1,26563
BLBLIMITED,20210301,5.6,5.7,5.15,5.55,287016
BLISSGVS,20210301,175,176,172.8,174.35,505109
BLKASHYAP,20210301,14.75,14.75,13.75,14.35,437072
BLS,20210301,108,108.85,102.8,103.95,342272
BLUECOAST,20210301,5.75,5.75,5.75,5.75,108
BLUEDART,20210301,4744,4744,4605,4617.65,10159
BLUESTARCO,20210301,895,949,851.6,860.95,1220527
BODALCHEM,20210301,78,84.45,77.1,82.6,5838383
BOMDYEING,20210301,74.6,77.5,74.45,76.35,3117259
BOROLTD,20210301,188,192.05,183.5,185.1,138819
BORORENEW,20210301,292.2,294,282,284.7,274746
BOSCHLTD,20210301,15000,15345.05,14905,15228.25,53119
BPCL,20210301,456,463.85,450.1,455.25,6092750
BPL,20210301,21.35,21.7,20.65,21,94577
BRFL,20210301,8.7,9,8.5,9,284673
BRIGADE,20210301,290.1,298.45,290,292.2,248115
BRITANNIA,20210301,3371.5,3420,3367.05,3411.8,377869
BRNL,20210301,34,34,32.8,33.25,47482
BROOKS,20210301,59,60.6,58.6,59.25,47939
BSE,20210301,585,587.5,576.1,577.15,297967
BSELINFRA,20210301,1,1,0.95,1,35517
BSHSL,20210301,139,139,131.6,137.6,514
BSL,20210301,32,33.95,30.4,31.6,13840
BSLGOLDETF,20210301,4290,4290,4202.5,4223.4,516
BSLNIFTY,20210301,164.65,164.65,160.8,162.9,170
BSOFT,20210301,229,231.95,223,225.3,448211
BURGERKING,20210301,143,143.2,140.5,141.45,762981
BURNPUR,20210301,2.65,2.65,2.55,2.65,101783
BUTTERFLY,20210301,569.55,578,542.1,559.95,83779
BVCL,20210301,17.5,17.75,16.55,17.25,6578
BYKE,20210301,18.45,20.1,18.25,19.85,103188
CADILAHC,20210301,437,438.4,430.4,435.3,2015942
CALSOFT,20210301,9.2,9.45,9.1,9.4,48010
CAMLINFINE,20210301,134.9,143.8,133.1,136.7,1695243
CAMS,20210301,1840,1875,1820.05,1861.35,172938
CANBK,20210301,159.25,160,155.1,156.75,13581503
CANFINHOME,20210301,483.4,490,473.5,474.7,266573
CANTABIL,20210301,380,387.5,374.9,384.65,206237
CAPACITE,20210301,208,210,201.1,204.1,322902
CAPLIPOINT,20210301,468.7,470.9,465.05,466.9,93765
CAPTRUST,20210301,98,111,98,100.55,52395
CARBORUNIV,20210301,514.8,535,507,529.25,290524
CAREERP,20210301,153,154.35,150,150.75,29151
CARERATING,20210301,470.25,472.7,465.55,468.45,70402
CASTEXTECH,20210301,0.4,0.4,0.4,0.4,156000
CASTROLIND,20210301,131.4,136.9,130.35,135.65,4986242
CCCL,20210301,0.4,0.45,0.35,0.45,137366
CCHHL,20210301,4.95,5.05,4.65,4.95,49948
CCL,20210301,230.8,233.5,229.3,231.5,838673
CDSL,20210301,632,639.3,621.25,627.6,988372
CEATLTD,20210301,1611,1642.65,1583,1611.35,235961
CEBBCO,20210301,20.45,21.25,19.85,20.95,95827
CELEBRITY,20210301,7.4,7.4,6.7,7.4,125881
CENTENKA,20210301,251.05,254.95,250.95,253.85,42291
CENTEXT,20210301,4.4,4.65,4.25,4.55,296504
CENTRALBK,20210301,20,20,18.45,18.6,13423237
CENTRUM,20210301,24.6,24.8,23.4,24.1,2248505
CENTUM,20210301,431.1,443.05,431.1,440.35,7842
CENTURYPLY,20210301,309,311.2,304,307.4,134396
CENTURYTEX,20210301,479.2,494.8,476.5,487.75,421224
CERA,20210301,3820,4015,3790,3997.7,17449
CEREBRAINT,20210301,53.55,55.5,52.75,53.25,190968
CESC,20210301,606,620.3,600,616.95,323991
CGCL,20210301,375,376.75,356.8,370.75,153579
CGPOWER,20210301,58,58,56.45,56.85,2849740
CHALET,20210301,166.4,169.5,166,167.85,126736
CHAMBLFERT,20210301,246.25,264.5,243.4,258,2991185
CHEMBOND,20210301,183.4,184.95,178.2,179.4,16373
CHEMCON,20210301,438.45,442.4,432.1,436.1,195849
CHEMFAB,20210301,131.8,131.95,115,129.25,18523
CHENNPETRO,20210301,100.85,108.15,99.45,105.4,2717970
CHOLAFIN,20210301,524.5,558,519.5,522.3,8234542
CHOLAHLDNG,20210301,599.5,619.95,587,605.45,90706
CIGNITITEC,20210301,352.65,353.95,345.4,349.25,55157
CINELINE,20210301,39.2,39.2,37.85,38.1,77446
CINEVISTA,20210301,6.8,6.8,6.1,6.3,36747
CIPLA,20210301,795,800.5,782,789.8,2748271
CLEDUCATE,20210301,67.6,69.9,67.05,68.35,26537
CLNINDIA,20210301,397.4,397.4,389,391.3,49868
CMICABLES,20210301,59.2,61.9,59.2,59.2,39311
CNOVAPETRO,20210301,14.75,14.75,14.75,14.75,434
COALINDIA,20210301,155.5,157.1,153.7,154.35,22306110
COCHINSHIP,20210301,376.4,394.7,373.4,388.45,963401
COFORGE,20210301,2555.5,2569,2476.05,2504.2,122858
COLPAL,20210301,1577,1591,1565.25,1583.1,265854
COMPINFO,20210301,17.4,19.7,17.3,18.95,2918863
COMPUSOFT,20210301,8.6,9.45,7.85,8.6,172904
CONCOR,20210301,562.9,573,556.25,562.5,2068440
CONFIPET,20210301,43.5,45.45,43.05,44.2,1221070
CONSOFINVT,20210301,44.75,44.75,36.4,43.1,21713
CONTROLPR,20210301,233.85,237,229.85,232.4,14979
CORALFINAC,20210301,24,24.8,23.25,23.35,28231
CORDSCABLE,20210301,43,43,40.8,41.35,57085
COROMANDEL,20210301,775,787,772.1,784.2,364847
COSMOFILMS,20210301,508.95,527.55,504,524.65,102743
COUNCODOS,20210301,2.45,2.45,2.45,2.45,41023
CPSEETF,20210301,23.71,24.24,23.35,24.15,5289465
CREATIVE,20210301,113.3,117.7,106.1,107.7,21430
CREDITACC,20210301,696,710.65,684.75,708.75,96269
CREST,20210301,89.35,94,86.15,92,9239
CRISIL,20210301,1950,1958,1919.05,1924.95,11148
CROMPTON,20210301,388,399.7,382.1,386.5,2327986
CSBBANK,20210301,227,228.45,225,227.25,114684
CTE,20210301,33.95,33.95,30.95,32.35,33225
CUB,20210301,166.85,169.65,166.3,168.8,1461860
CUBEXTUB,20210301,22.8,22.8,22.8,22.8,12189
CUMMINSIND,20210301,782.2,802,782.2,800.65,820946
CUPID,20210301,208,211,208,210,34090
CYBERMEDIA,20210301,15.3,15.3,15.3,15.3,1201
CYBERTECH,20210301,126.5,127.5,123.45,124.75,92523
CYIENT,20210301,657.8,669.5,646.5,652.4,501040
DAAWAT,20210301,53.2,53.25,52.1,52.35,897956
DABUR,20210301,504,507.85,502.8,505.85,1751572
DALBHARAT,20210301,1438,1501,1423.3,1469.1,266937
DALMIASUG,20210301,160.6,165.8,158.6,164.9,369822
DAMODARIND,20210301,33.2,33.45,31.85,33.4,20349
DANGEE,20210301,132.25,132.25,129.1,130.55,50589
DATAMATICS,20210301,110.2,112.9,109.7,110.55,100506
DBCORP,20210301,101.75,104,99.9,100.5,728121
DBL,20210301,685,707.3,685,697.85,399169
DBREALTY,20210301,29.55,29.55,29.55,29.55,367582
DBSTOCKBRO,20210301,9.9,9.9,9.15,9.4,9869
DCAL,20210301,120.55,121.45,117.75,118.25,319156
DCBBANK,20210301,118.4,118.4,115.1,116.1,978020
DCM,20210301,27.75,28.2,25.65,27.45,49724
DCMFINSERV,20210301,1.55,1.55,1.55,1.55,75
DCMNVL,20210301,66.15,69.85,66.15,68.7,10280
DCMSHRIRAM,20210301,458.05,477.9,452.95,460.95,267125
