INDRATNA,19970101,8.5,8.5,8.5,8.5,1000
INDSEAMFIN,19970101,8,8,8,8,100
INDSHAVING,19970101,390,390,385,385,1100
INDSTMSHIP,19970101,4.3,4.3,4.3,4.3,500
INERTIAIND,19970101,4.5,4.5,4.5,4.5,900
INOVATMARN,19970101,2.65,2.65,2.4,2.55,4200
INOX,19970101,86.5,92.9,86.5,92.9,300
IVRCONST,19970101,42,45,42,45,1000
JAYASWLNEC,19970101,22.4,22.4,22.35,22.35,500
JAYBUSMAC,19970101,8.35,8.35,8.35,8.35,3000
KANAKSTEEL,19970101,1.6,1.75,1.6,1.75,7800
KHATJUNKER,19970101,3,3,2.6,2.6,5000
KILBUNENGG,19970101,18.75,19.75,18.75,19.75,600
KINGSINTL,19970101,2,2.2,2,2.2,1100
KJMCFIN,19970101,27,27.5,27,27.5,500
KMF,19970101,8.5,8.75,8.2,8.75,500
KNDENGTECH,19970101,30,30,30,30,200
LANESEDA,19970101,3.5,3.8,3.5,3.8,600
LDTEXT,19970101,14.3,14.3,13,13,1000
LEENATEX,19970101,2,2.15,2,2.1,1800
MACIND,19970101,15.5,17.5,15.5,17.25,1200
MADHURFOOD,19970101,22.5,23.4,22.05,23.4,400
MAHAGRO,19970101,7.2,7.45,6.8,7.25,43100
MAHALEAS,19970101,3.85,3.85,3.85,3.85,46900
MANTRIHSG,19970101,20,21.15,19.75,21,3900
MARDIASTL,19970101,12,12.25,11.55,12.25,2100
MARNITPOLY,19970101,3.6,3.6,3.6,3.6,700
MAXORCHARD,19970101,13,13.75,13,13.75,2200
MAZDALEASE,19970101,20.25,20.3,20.25,20.3,1000
MBIND,19970101,5,5.1,4.5,4.5,9000
MCLEODRUS,19970101,72,72,66,66.75,1300
MEDIAVIDEO,19970101,7.9,7.9,7.75,7.75,1500
METALPIPE,19970101,11.75,12,11.5,11.5,900
MIDINDIA,19970101,4.1,4.1,4.1,4.1,200
MIDWESTIRN,19970101,3,3.1,3,3.1,200
MITTALLAMI,19970101,18.5,18.5,18.5,18.5,200
MODIOLIVET,19970101,5.5,5.5,5.5,5.5,200
MODRNSYNTX,19970101,20.45,20.6,19.1,19.75,14300
MODTHREAD,19970101,66.5,67,64.25,64.25,150
MONICAELEC,19970101,23.5,25,23.5,25,1300
MONNETISPA,19970101,9.8,9.85,9.8,9.85,400
MONTARIND,19970101,5.1,5.6,5.05,5.05,400
